,Player,NewPos,MP,Gls,Ast,G+A,xG,xAG,Age,CrdY,CrdR,PrgC,PrgP,PrgR,FantasyPoints,PlayerCost
528,Luca Koleosho,MF,15,1,1,2,2.0,1.3,18,0,0,53,19,82,90.46666666666667,12.65
529,Jóhann Berg Guðmundsson,MF,26,1,3,4,1.9,2.7,32,2,0,13,59,69,89.08888888888889,13.25
530,Ameen Al-Dakhil,DF,13,1,0,1,1.3,0.1,21,1,0,7,35,9,32.34444444444445,9.350000000000001
531,Arijanet Muric,GK,10,0,0,0,0.0,0.2,24,0,0,0,1,0,0.8111111111111111,6.1
532,David Datro Fofana,FW,15,4,1,5,4.5,1.8,20,1,0,21,15,39,70.46666666666667,17.4
533,Connor Roberts,DF,14,0,1,1,0.0,0.2,27,5,1,6,38,13,23.855555555555554,8.1
534,Jay Rodriguez,FW,21,2,1,3,3.5,0.2,34,0,0,2,17,28,43.53333333333333,15.6
535,Hannes Delcroix,DF,12,0,0,0,0.4,0.2,24,2,0,2,18,6,12.133333333333333,8.5
536,Aaron Ramsey,MF,14,0,0,0,0.3,0.4,20,1,0,8,8,17,16.655555555555555,10.5
537,Hjalmar Ekdal,DF,8,0,0,0,0.1,0.1,24,2,0,5,11,1,6.888888888888889,8.15
538,Mike Trésor,FW,16,0,0,0,0.5,0.4,24,0,0,15,10,31,29.577777777777776,12.7
539,Anass Zaroury,FW,6,0,0,0,0.2,0.0,22,0,1,2,2,12,5.466666666666667,12.2
540,Benson Manuel,MF,8,0,0,0,0.1,0.0,26,0,0,5,2,14,10.788888888888888,10.1
541,Nathan Redmond,FW,12,0,0,0,0.0,0.3,29,1,0,7,8,22,17.933333333333334,12.15
542,Jack Cork,MF,4,0,0,0,0.0,0.0,34,0,0,4,4,1,4.144444444444444,10.0
543,Michael Obafemi,FW,2,0,0,0,0.1,0.0,23,0,0,0,0,3,1.7222222222222223,12.1
544,Han-Noah Massengo,MF,3,0,0,0,0.0,0.0,22,0,0,2,0,0,1.0333333333333334,10.0
545,Gustavo Hamer,MF,36,4,6,10,3.0,6.1,26,9,0,36,135,86,170.0,16.05
546,Jayden Bogle,DF,34,3,0,3,2.3,1.0,23,9,0,38,60,92,106.97777777777777,10.8
547,Jack Robinson,DF,34,1,1,2,1.2,1.2,29,10,0,8,63,14,44.477777777777774,9.799999999999999
548,Vinicius Souza,MF,36,1,0,1,0.6,0.2,24,3,0,7,66,21,50.8,10.7
549,Anel Ahmedhodžić,DF,31,2,0,2,3.1,0.8,24,11,1,15,43,21,42.84444444444445,11.5
550,Wes Foderingham,GK,30,0,0,0,0.0,0.1,32,2,0,0,0,0,-1.7666666666666666,6.05
551,Auston Trusty,DF,32,0,0,0,0.4,1.1,24,4,0,10,40,15,30.755555555555556,8.950000000000001
552,Cameron Archer,FW,29,4,1,5,5.5,2.8,22,1,0,33,15,113,116.62222222222222,18.9
553,James Mcatee,MF,30,3,3,6,3.1,2.9,20,2,0,55,51,110,139.43333333333334,14.549999999999999
554,Oliver Norwood,MF,27,1,0,1,1.1,0.6,32,8,0,3,73,10,42.9,11.4
555,Oliver McBurnie,FW,21,6,3,9,6.9,2.0,27,7,2,6,30,60,90.03333333333333,19.9
556,Ben Osborn,DF,24,0,2,2,0.2,0.9,28,3,0,16,55,44,62.06666666666666,8.649999999999999
557,Ben Brereton,FW,14,6,1,7,6.1,1.5,24,3,0,23,37,78,112.85555555555555,18.85
558,Andre Brooks,MF,20,0,0,0,0.4,0.1,19,1,0,12,18,22,26.12222222222222,10.450000000000001
559,George Baldock,DF,13,0,1,1,0.0,0.8,30,4,0,9,31,24,31.944444444444443,8.4
560,Oliver Arblaster,MF,12,0,0,0,0.0,0.7,19,2,0,13,43,4,28.833333333333332,10.35
561,Luke Thomas,DF,12,0,0,0,0.5,0.1,22,3,0,8,33,22,29.733333333333334,8.55
562,William Osula,FW,21,0,0,0,1.6,0.1,19,4,0,7,2,41,24.53333333333333,13.65
563,Ivo Grbić,GK,9,0,0,0,0.0,0.0,27,1,0,0,0,0,-0.9,6.0
564,Mason Holgate,DF,10,0,0,0,0.6,0.4,26,3,1,0,13,0,2.2111111111111112,8.799999999999999
565,Yasser Larouci,DF,11,0,0,0,0.2,0.3,22,1,0,18,14,12,21.822222222222223,8.35
566,John Egan,DF,6,0,0,0,0.2,0.0,30,2,0,0,5,1,1.4666666666666668,8.2
567,Max Lowe,DF,10,0,0,0,0.6,0.7,26,1,0,5,12,11,15.011111111111111,8.95
568,Anis Ben Slimane,MF,15,0,0,0,0.8,0.3,22,2,0,3,12,21,18.066666666666666,10.950000000000001
569,Bénie Adama Traore,FW,8,0,0,0,0.3,0.5,20,0,0,7,9,14,16.18888888888889,12.55
570,Rhian Brewster,FW,13,0,0,0,0.4,0.1,23,0,1,1,3,21,10.544444444444444,12.450000000000001
571,Chris Basham,DF,8,0,0,0,0.1,0.3,35,1,0,1,7,6,6.088888888888889,8.25
572,Tom Davies,MF,9,0,0,0,0.4,0.1,25,2,0,3,8,3,6.0,10.450000000000001
573,Rhys Norrington-Davies,DF,5,0,0,0,0.0,0.0,24,1,0,3,2,6,4.555555555555555,8.0
574,John Fleck,MF,4,0,0,0,0.0,0.4,31,1,0,2,3,0,1.8444444444444446,10.2
575,Sam Curtis,DF,1,0,0,0,0.0,0.0,17,0,0,0,1,1,1.011111111111111,8.0
576,Daniel Jebbison,FW,1,0,0,0,0.0,0.0,19,0,0,0,0,1,0.5111111111111111,12.0
577,Antwoine Hackford,FW,2,0,0,0,0.0,0.0,19,0,0,0,0,0,0.022222222222222223,12.0
578,Sydie Peck,MF,1,0,0,0,0.0,0.0,18,0,0,0,0,0,0.011111111111111112,10.0
579,Ryan One,FW,1,0,0,0,0.0,0.0,17,0,0,1,0,0,0.5111111111111111,12.0
